time,buyer,seller,quantity_kWh
2018-08-24 19:50:00+00:00,h2,h5,0.0158833333333333
2018-08-24 20:00:00+00:00,h1,h4,0.2422666666666666
2018-08-24 20:00:00+00:00,h5,h4,0.1368666666666667
2018-08-24 20:10:00+00:00,h2,h4,0.4437166666666667
2018-08-24 20:10:00+00:00,h2,h5,0.1255333333333333
2018-08-24 20:10:00+00:00,h1,h5,0.1320666666666667
2018-08-24 20:10:00+00:00,h1,h3,0.0463499999999999
2018-08-24 20:20:00+00:00,h1,h5,0.2364999999999999
2018-08-24 20:30:00+00:00,h2,h3,0.3869333333333333
2018-08-24 20:30:00+00:00,h5,h3,0.0887333333333333
2018-08-24 20:30:00+00:00,h5,h1,0.1135666666666665
2018-08-24 20:40:00+00:00,h2,h3,0.3343999999999999
2018-08-24 20:50:00+00:00,h3,h5,0.0823666666666667
2018-08-24 21:00:00+00:00,h2,h5,0.4617
2018-08-24 21:00:00+00:00,h2,h1,0.0348166666666666
2018-08-24 21:00:00+00:00,h3,h1,0.1021166666666667
2018-08-24 21:10:00+00:00,h2,h1,0.2091333333333333
2018-08-24 21:10:00+00:00,h2,h4,0.0167333333333332
2018-08-24 21:10:00+00:00,h5,h4,0.03625
2018-08-24 21:20:00+00:00,h1,h4,0.1068
2018-08-24 21:30:00+00:00,h2,h4,0.2035166666666667
2018-08-24 21:40:00+00:00,h5,h1,0.31425
2018-08-24 21:40:00+00:00,h3,h1,0.0497999999999999
2018-08-24 21:40:00+00:00,h3,h4,0.0987500000000001
2018-08-24 21:40:00+00:00,h2,h4,0.0511499999999999
2018-08-24 21:50:00+00:00,h5,h1,0.1674666666666666
2018-08-24 21:50:00+00:00,h5,h4,0.1534333333333332
2018-08-24 22:00:00+00:00,h5,h4,0.1387833333333333
2018-08-24 22:10:00+00:00,h2,h4,0.1176
2018-08-24 22:20:00+00:00,h5,h4,0.0828333333333333
2018-08-24 22:30:00+00:00,h2,h4,0.0617333333333333
2018-08-24 22:40:00+00:00,h5,h4,0.0299333333333332
2018-08-25 12:50:00+00:00,h5,h3,0.0143999999999999
2018-08-25 13:00:00+00:00,h5,h3,0.0256333333333333
2018-08-25 13:40:00+00:00,h5,h3,0.0261333333333333
2018-08-25 14:00:00+00:00,h5,h3,0.0539833333333333
2018-08-25 14:10:00+00:00,h5,h3,0.0974333333333333
2018-08-25 14:30:00+00:00,h1,h3,0.1901666666666667
2018-08-25 14:30:00+00:00,h1,h4,0.0639999999999999
2018-08-25 14:30:00+00:00,h5,h2,0.01995
2018-08-25 14:50:00+00:00,h1,h5,0.1397333333333333
2018-08-25 14:50:00+00:00,h1,h3,0.01355
2018-08-25 15:00:00+00:00,h5,h3,0.3084
2018-08-25 15:00:00+00:00,h1,h3,0.0975666666666665
2018-08-25 15:00:00+00:00,h1,h4,0.1626833333333333
2018-08-25 15:10:00+00:00,h5,h3,0.00855
2018-08-25 15:20:00+00:00,h5,h3,0.3659166666666666
2018-08-25 15:30:00+00:00,h1,h4,0.2810999999999999
2018-08-25 15:30:00+00:00,h1,h3,0.0912833333333333
2018-08-25 15:40:00+00:00,h1,h3,0.4458333333333333
2018-08-25 16:00:00+00:00,h1,h5,0.22655
2018-08-25 16:00:00+00:00,h1,h3,0.2264166666666667
2018-08-25 16:10:00+00:00,h1,h5,0.4661166666666667
2018-08-25 16:10:00+00:00,h1,h3,0.04475
2018-08-25 16:20:00+00:00,h1,h5,0.50305
2018-08-25 16:20:00+00:00,h1,h3,0.1457833333333332
2018-08-25 16:20:00+00:00,h1,h4,0.1281833333333333
2018-08-25 16:30:00+00:00,h1,h5,0.4837333333333333
2018-08-25 16:30:00+00:00,h1,h4,0.0980166666666666
2018-08-25 16:30:00+00:00,h1,h3,0.0896333333333333
2018-08-25 16:40:00+00:00,h1,h5,0.48685
2018-08-25 16:40:00+00:00,h1,h3,0.1748166666666666
2018-08-25 16:50:00+00:00,h1,h5,0.5219166666666666
2018-08-25 16:50:00+00:00,h1,h3,0.1452500000000001
2018-08-25 16:50:00+00:00,h1,h2,0.0378166666666666
2018-08-25 17:00:00+00:00,h2,h5,0.4247166666666667
2018-08-25 17:00:00+00:00,h2,h3,0.0212499999999999
2018-08-25 17:10:00+00:00,h3,h5,0.1501999999999999
2018-08-25 17:10:00+00:00,h4,h5,0.0783666666666666
2018-08-25 17:10:00+00:00,h2,h5,0.0395833333333334
2018-08-25 17:10:00+00:00,h2,h1,0.0342999999999998
2018-08-25 17:20:00+00:00,h2,h5,0.4295000000000001
2018-08-25 17:20:00+00:00,h1,h5,0.0298666666666664
2018-08-25 17:20:00+00:00,h1,h4,0.2175000000000001
2018-08-25 17:30:00+00:00,h1,h4,0.3036
2018-08-25 17:30:00+00:00,h1,h3,0.1697666666666666
2018-08-25 17:40:00+00:00,h1,h4,0.2041333333333332
2018-08-25 17:40:00+00:00,h1,h3,0.1030333333333332
2018-08-25 17:50:00+00:00,h1,h4,0.5801
2018-08-25 17:50:00+00:00,h2,h4,0.0743666666666666
2018-08-25 17:50:00+00:00,h2,h3,0.1746
2018-08-25 18:00:00+00:00,h1,h4,0.1798999999999999
2018-08-25 18:00:00+00:00,h1,h2,0.0221166666666667
2018-08-25 18:20:00+00:00,h1,h5,0.4273166666666666
2018-08-25 18:20:00+00:00,h2,h5,0.1566666666666666
2018-08-25 18:20:00+00:00,h2,h4,0.0248999999999999
2018-08-25 18:30:00+00:00,h3,h4,0.4978
2018-08-25 18:30:00+00:00,h3,h5,0.1319333333333333
2018-08-25 18:30:00+00:00,h1,h5,0.1615666666666667
2018-08-25 18:40:00+00:00,h2,h5,0.5035500000000002
2018-08-25 18:40:00+00:00,h3,h5,0.0846499999999998
2018-08-25 18:40:00+00:00,h3,h4,0.2953833333333333
2018-08-25 18:50:00+00:00,h3,h2,0.4102833333333334
2018-08-25 18:50:00+00:00,h1,h2,0.0685499999999998
2018-08-25 18:50:00+00:00,h1,h4,0.2464
2018-08-25 19:00:00+00:00,h2,h4,0.2357
2018-08-25 19:00:00+00:00,h2,h5,0.0826166666666667
2018-08-25 19:10:00+00:00,h1,h5,0.3536999999999999
2018-08-25 19:10:00+00:00,h2,h5,0.0287
2018-08-25 19:20:00+00:00,h1,h5,0.3015833333333333
2018-08-25 19:20:00+00:00,h4,h5,0.0738333333333334
2018-08-25 19:20:00+00:00,h2,h5,0.0609999999999999
2018-08-25 19:30:00+00:00,h2,h5,0.2747833333333334
2018-08-25 19:30:00+00:00,h1,h5,0.2695833333333334
2018-08-25 19:40:00+00:00,h1,h4,0.2597
2018-08-25 19:40:00+00:00,h5,h4,0.0359499999999999
2018-08-25 19:50:00+00:00,h1,h4,0.2498166666666666
2018-08-25 19:50:00+00:00,h2,h4,0.0667499999999999
2018-08-25 19:50:00+00:00,h2,h3,0.0245666666666667
2018-08-25 19:50:00+00:00,h5,h3,0.0841333333333334
2018-08-25 20:00:00+00:00,h2,h4,0.2702333333333333
2018-08-25 20:00:00+00:00,h2,h5,0.1596333333333333
2018-08-25 20:00:00+00:00,h2,h3,0.0106999999999999
2018-08-25 20:00:00+00:00,h1,h3,0.0867166666666666
2018-08-25 20:10:00+00:00,h1,h5,0.24705
2018-08-25 20:10:00+00:00,h4,h5,0.1637499999999999
2018-08-25 20:20:00+00:00,h2,h5,0.4737166666666665
2018-08-25 20:20:00+00:00,h1,h5,0.0328666666666668
2018-08-25 20:20:00+00:00,h1,h3,0.0637166666666667
2018-08-25 21:00:00+00:00,h5,h1,0.1885333333333333
2018-08-25 21:00:00+00:00,h5,h4,0.0376999999999999
2018-08-25 21:10:00+00:00,h2,h1,0.2937666666666665
2018-08-25 21:10:00+00:00,h5,h1,0.1372166666666668
2018-08-25 21:10:00+00:00,h5,h4,0.1101666666666665
2018-08-25 21:20:00+00:00,h2,h1,0.4107
2018-08-25 21:20:00+00:00,h2,h4,0.0429333333333332
2018-08-25 21:20:00+00:00,h5,h4,0.2094333333333335
2018-08-25 21:30:00+00:00,h5,h1,0.1509999999999999
2018-08-25 21:30:00+00:00,h5,h4,0.0952833333333333
2018-08-25 21:50:00+00:00,h2,h1,0.3742999999999999
2018-08-25 22:00:00+00:00,h5,h2,0.1059333333333333
2018-08-25 22:00:00+00:00,h5,h1,0.0917333333333333
2018-08-25 22:00:00+00:00,h5,h4,0.0852
2018-08-25 22:20:00+00:00,h5,h2,0.3095333333333332
2018-08-25 22:20:00+00:00,h5,h4,0.1109333333333334
2018-08-25 22:20:00+00:00,h1,h4,0.0124333333333332
2018-08-25 23:20:00+00:00,h5,h2,0.0309499999999999
